# Example sample sheet for EPICC.
#
# Copy to your analysis folder, edit, and pass to epicc:
#   epicc run --samples my_samples.tsv ...
#
# Lines starting with '#' are skipped, so you can park samples without
# deleting their rows.
#
# Columns (tab-separated, in this order):
#   Sample_ID    Unique, filesystem-safe name (no '__', '/', whitespace).
#   Assay        ChIP | CUT_RUN | CUT_TAG | ATAC | RNAseq | RAMPAGE |
#                sRNA | WGBS | WGBS_nd | PBAT | EMseq | dmC
#   Peak_type    broad | narrow — the peak-calling type, a separate parameter
#                from the assay. Required for ChIP / CUT_RUN / CUT_TAG (broad
#                for histone domains like H3K9me2/H3K27me3; narrow for TFs and
#                sharp marks like H3K4me3/H3K27ac). Blank for all other assays.
#   Genome       Reference genome name (must match `genomes:` key in the
#                options YAML, e.g. ColCEN, Spombe, hg38).
#   Levels       Comma-separated factor:level pairs (genotype:WT,tissue:leaf).
#                All rows in the sheet must use the same factor keys.
#   Replicate_ID Replicate label (rep1, rep2, repA, ...).
#   Read_files   SRA/ENA/DDBJ accession (SRR12345), local FASTQ/BAM path,
#                HTTP(S) URL, or '+'-separated list to merge multiple inputs.
#                For PE FASTQs at explicit paths: comma-separate R1,R2.
#   Read_layout  SE or PE.
#   IP_target    Required for ChIP / CUT_RUN / CUT_TAG (H3K9me2, Input, WCE,
#                etc.). Blank for other assays.
#   Control      Sample_ID of the matching control (Input/WCE for ChIP).
#                Control samples themselves leave this blank.
#
# Legacy sheets that baked the peak type into the assay name (e.g. ChIP_broad,
# with no Peak_type column) are still accepted and auto-split at load.
#
# See dev/docs/sample-sheet-spec.md for the full per-field specification
# and tools/epicc-builder.html for an interactive editor.

Sample_ID	Assay	Peak_type	Genome	Levels	Replicate_ID	Read_files	Read_layout	IP_target	Control
Col0_WT_H3K27ac_rep1	ChIP	narrow	ColCEN	genotype:Col0,tissue:WT	rep1	SRR27821885	PE	H3K27ac	Col0_WT_Input_rep1
Col0_WT_H3K4me1_rep1	ChIP	broad	ColCEN	genotype:Col0,tissue:WT	rep1	SRR27821852	PE	H3K4me1	Col0_WT_Input_rep1
Col0_WT_Input_rep1	ChIP	narrow	ColCEN	genotype:Col0,tissue:WT	rep1	SRR27821932	PE	Input
Col0_suvh1_WGBS_rep1	WGBS		ColCEN	genotype:Col0,tissue:suvh1	rep1	SRR27821959	SE
Col0_WT_WGBS_rep1	WGBS		ColCEN	genotype:Col0,tissue:WT	rep1	SRR27821907	SE
Col0_WT_WGBS_rep2	WGBS		ColCEN	genotype:Col0,tissue:WT	rep2	SRR35564203	PE
Col0_suvh13_RNA_rep1	RNAseq		ColCEN	genotype:Col0,tissue:suvh13	rep1	SRR27821840	PE
Col0_suvh13_RNA_rep2	RNAseq		ColCEN	genotype:Col0,tissue:suvh13	rep2	SRR27821839	PE
Col0_suvh13_RNA_rep3	RNAseq		ColCEN	genotype:Col0,tissue:suvh13	rep3	SRR27821838	PE
Col0_WT_RNA_rep1	RNAseq		ColCEN	genotype:Col0,tissue:WT	rep1	SRR27821967	PE
Col0_WT_RNA_rep2	RNAseq		ColCEN	genotype:Col0,tissue:WT	rep2	SRR27821966	PE
Col0_WT_RNA_rep3	RNAseq		ColCEN	genotype:Col0,tissue:WT	rep3	SRR27821918	PE
Col0_VLP_ddm1_sRNA_rep1	sRNA		ColCEN	genotype:Col0,tissue:VLP_ddm1	rep1	SRR8792540	SE
Col0_VLP_ddm1_sRNA_rep2	sRNA		ColCEN	genotype:Col0,tissue:VLP_ddm1	rep2	SRR8792538	SE
Col0_VLP_WT_inflo_sRNA_rep1	sRNA		ColCEN	genotype:Col0,tissue:VLP_WT_inflo	rep1	SRR8792539	SE
Col0_suvh1.1_Input_rep1	ChIP	narrow	ColCEN	genotype:Col0,tissue:suvh1.1	rep1	SRR27821931	SE	Input
Col0_suvh1.1_Input_rep2	ChIP	narrow	ColCEN	genotype:Col0,tissue:suvh1.1	rep2	SRR27821934	SE	Input
Col0_suvh1.1_SUVH1_rep1	ChIP	narrow	ColCEN	genotype:Col0,tissue:suvh1.1	rep1	SRR27821933	SE	SUVH1	Col0_suvh1.1_Input_rep1
Col0_suvh1.1_SUVH1_rep2	ChIP	narrow	ColCEN	genotype:Col0,tissue:suvh1.1	rep2	SRR27821935	SE	SUVH1	Col0_suvh1.1_Input_rep2
Col0_suvh3_Input_repA	ChIP	narrow	ColCEN	genotype:Col0,tissue:suvh3	repA	SRR27821929	SE	Input
Col0_suvh3_SUVH3_repA	ChIP	narrow	ColCEN	genotype:Col0,tissue:suvh3	repA	SRR27821930	SE	SUVH3	Col0_suvh3_Input_repA
